"product_id","nb_reviews","average_rating","oldest_rating","newest_rating","snapshot_date"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-19"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-19"
"B01GWGXHKK",14,"5.00","5.00","5.00","2026-05-19"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-19"
"B000ERVMI8",15,"5.00","5.00","5.00","2026-05-19"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-19"
"B01GW8ZA9Y",15,"5.00","5.00","5.00","2026-05-19"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-19"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-19"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-19"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-19"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-19"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-19"
"B00O9GW8VK",25,"5.00","5.00","5.00","2026-05-19"
"B01BHMS88A",30,"5.00","5.00","5.00","2026-05-19"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-18"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-18"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-18"
"B01GWGXHKK",14,"5.00","5.00","5.00","2026-05-18"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-18"
"B000ERVMI8",15,"5.00","5.00","5.00","2026-05-18"
"B01GW8ZA9Y",15,"5.00","5.00","5.00","2026-05-18"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-18"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-18"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-18"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-18"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-18"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-18"
"B00O9GW8VK",25,"5.00","5.00","5.00","2026-05-18"
"B01BHMS88A",32,"5.00","5.00","5.00","2026-05-18"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-17"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-17"
"B01GWGXHKK",14,"5.00","5.00","5.00","2026-05-17"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-17"
"B01GW8ZA9Y",15,"5.00","5.00","5.00","2026-05-17"
"B000ERVMI8",15,"5.00","5.00","5.00","2026-05-17"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-17"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-17"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-17"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-17"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-17"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-17"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-17"
"B00O9GW8VK",26,"5.00","5.00","5.00","2026-05-17"
"B01BHMS88A",32,"5.00","5.00","5.00","2026-05-17"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-16"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-16"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-16"
"B01GWGXHKK",14,"5.00","5.00","5.00","2026-05-16"
"B000ERVMI8",15,"5.00","5.00","5.00","2026-05-16"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-16"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-16"
"B01GW8ZA9Y",15,"5.00","5.00","5.00","2026-05-16"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-16"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-16"
